GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Makelangelo,com.marginallyclever.makelangelo.makeart.imageconverter,Converter_VoronoiZigZag,682,0,68,0,151,0,53,0,19,0
Makelangelo,com.marginallyclever.makelangelo.makeart.imageconverter,Converter_Sandy,494,0,27,0,121,0,26,0,11,0
Makelangelo,com.marginallyclever.makelangelo.makeart.imageconverter,Converter_RandomLines,191,0,6,0,49,0,11,0,8,0
Makelangelo,com.marginallyclever.makelangelo.makeart.imageconverter,Converter_CMYK_Crosshatch,252,0,4,0,49,0,10,0,8,0
Makelangelo,com.marginallyclever.makelangelo.makeart.imageconverter,Converter_QuadTreeInstant,460,0,18,0,76,0,25,0,16,0
Makelangelo,com.marginallyclever.makelangelo.makeart.imageconverter,Converter_Multipass,294,0,12,0,63,0,16,0,10,0
Makelangelo,com.marginallyclever.makelangelo.makeart.imageconverter,ImageConverterThread,125,0,14,0,39,0,14,0,7,0
Makelangelo,com.marginallyclever.makelangelo.makeart.imageconverter,Converter_Voronoi,725,0,40,0,164,0,44,0,24,0
Makelangelo,com.marginallyclever.makelangelo.makeart.imageconverter,ImageConverterFactory,136,0,2,0,4,0,3,0,2,0
Makelangelo,com.marginallyclever.makelangelo.makeart.imageconverter,Converter_Crosshatch,455,0,12,0,97,0,26,0,20,0
Makelangelo,com.marginallyclever.makelangelo.makeart.imageconverter,Converter_EdgeDetection,758,0,27,0,150,0,45,0,28,0
Makelangelo,com.marginallyclever.makelangelo.makeart.imageconverter,Converter_QuadTreeInstant.BoxCondition,19,0,0,0,6,0,1,0,1,0
Makelangelo,com.marginallyclever.makelangelo.rangeslider,RangeSliderUI.ChangeHandler,0,22,2,2,0,5,2,2,0,2
Makelangelo,com.marginallyclever.makelangelo.rangeslider,RangeSlider,1,88,1,1,1,25,1,8,0,8
Makelangelo,com.marginallyclever.makelangelo.rangeslider,RangeSliderUI,555,82,40,2,114,20,30,7,9,7
Makelangelo,com.marginallyclever.makelangelo.rangeslider,RangeSliderUI.RangeTrackListener,581,7,46,0,117,1,31,1,6,1
Makelangelo,com.marginallyclever.util,MarginallyCleverPreferencesFileFactory,104,0,12,0,30,0,17,0,11,0
Makelangelo,com.marginallyclever.util,MarginallyCleverPreferences,456,0,36,0,130,0,36,0,18,0
Makelangelo,com.marginallyclever.util,MarginallyCleverPreferencesHelper,160,0,22,0,44,0,17,0,6,0
Makelangelo,com.marginallyclever.util,PreferencesHelper.MakelangeloPreferenceKey,0,70,0,0,0,13,0,3,0,3
Makelangelo,com.marginallyclever.util,PropertiesFileHelper,18,69,4,6,5,19,5,5,1,4
Makelangelo,com.marginallyclever.util,MarginallyCleverTranslationXmlFileHelper,373,0,40,0,106,0,41,0,21,0
Makelangelo,com.marginallyclever.util,PreferencesHelper,282,99,19,1,74,22,19,4,9,4
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl,DonatelloRegistry,2,50,0,0,1,22,1,4,1,4
Makelangelo,com.marginallyclever.makelangelo.turtle,MovementType,0,21,0,0,0,4,0,1,0,1
Makelangelo,com.marginallyclever.makelangelo.turtle,Turtle,322,1012,45,98,63,213,49,72,13,35
Makelangelo,com.marginallyclever.makelangelo.turtle,TurtleMove,45,99,6,9,7,16,10,7,4,5
Makelangelo,com.marginallyclever.makelangelo.turtle.turtlerenderer,TurtleRenderFactory,84,0,0,0,16,0,6,0,6,0
Makelangelo,com.marginallyclever.makelangelo.turtle.turtlerenderer,MarlinSimulationVisualizer.ColorPoint,9,0,0,0,4,0,1,0,1,0
Makelangelo,com.marginallyclever.makelangelo.turtle.turtlerenderer,DirectionLoopTurtleRenderer,183,0,6,0,47,0,14,0,11,0
Makelangelo,com.marginallyclever.makelangelo.turtle.turtlerenderer,BarberPoleTurtleRenderer,146,0,4,0,38,0,13,0,11,0
Makelangelo,com.marginallyclever.makelangelo.turtle.turtlerenderer,SeparateLoopTurtleRenderer,180,0,10,0,44,0,19,0,11,0
Makelangelo,com.marginallyclever.makelangelo.turtle.turtlerenderer,MarlinSimulationVisualizer,674,0,29,0,128,0,34,0,18,0
Makelangelo,com.marginallyclever.makelangelo.turtle.turtlerenderer,DefaultTurtleRenderer,176,0,8,0,47,0,14,0,10,0
Makelangelo,com.marginallyclever.makelangelo.turtle.turtlerenderer,TurtleRenderFacade,261,0,32,0,72,0,31,0,14,0
Makelangelo,com.marginallyclever.makelangelo.makeart.truchet,TruchetOrthogonalH,0,9,0,0,0,3,0,1,0,1
Makelangelo,com.marginallyclever.makelangelo.makeart.truchet,TruchetOrthogonalV,0,9,0,0,0,3,0,1,0,1
Makelangelo,com.marginallyclever.makelangelo.makeart.truchet,TruchetDiagonalRising,0,9,0,0,0,3,0,1,0,1
Makelangelo,com.marginallyclever.makelangelo.makeart.truchet,TruchetCurvedCurtainR,0,9,0,0,0,3,0,1,0,1
Makelangelo,com.marginallyclever.makelangelo.makeart.truchet,TruchetCurvedCurtainL,0,9,0,0,0,3,0,1,0,1
Makelangelo,com.marginallyclever.makelangelo.makeart.truchet,TruchetOrthogonal,22,119,6,8,4,27,6,9,1,6
Makelangelo,com.marginallyclever.makelangelo.makeart.truchet,TruchetDiagonalFalling,0,9,0,0,0,3,0,1,0,1
Makelangelo,com.marginallyclever.makelangelo.makeart.truchet,TruchetTileFactory,9,97,1,8,2,10,2,9,1,2
Makelangelo,com.marginallyclever.makelangelo.makeart.truchet,TruchetCurved,42,410,10,14,7,69,8,15,1,8
Makelangelo,com.marginallyclever.makelangelo.makeart.truchet,TruchetCurvedFanR,0,9,0,0,0,3,0,1,0,1
Makelangelo,com.marginallyclever.makelangelo.makeart.truchet,TruchetDiagonal,22,158,6,8,4,32,6,9,1,6
Makelangelo,com.marginallyclever.makelangelo.makeart.truchet,TruchetCurvedFanL,0,9,0,0,0,3,0,1,0,1
Makelangelo,com.marginallyclever.makelangelo.makeart.turtlegenerator.fractal,Generator_GosperCurve,277,38,10,0,71,10,11,4,6,4
Makelangelo,com.marginallyclever.makelangelo.makeart.turtlegenerator.fractal,Generator_LSystemTree,199,157,8,0,56,29,17,8,13,8
Makelangelo,com.marginallyclever.makelangelo.makeart.turtlegenerator.fractal,Generator_HilbertCurve,194,41,6,0,44,9,8,4,5,4
Makelangelo,com.marginallyclever.makelangelo.makeart.turtlegenerator.fractal,Generator_SierpinskiTriangle,163,38,8,0,37,8,8,4,4,4
Makelangelo,com.marginallyclever.makelangelo.makeart.turtlegenerator.fractal,Generator_Dragon,112,44,8,0,25,9,7,4,3,4
Makelangelo,com.marginallyclever.makelangelo.makeart.turtlegenerator.fractal,Generator_FibonacciSpiral,323,44,10,0,73,10,9,3,4,3
Makelangelo,com.marginallyclever.makelangelo.makeart.turtlegenerator.fractal,Generator_KochCurve,154,36,8,0,38,7,9,3,5,3
Makelangelo,com.marginallyclever.makelangelo.paper,PaperSize,0,20,0,0,0,6,0,2,0,2
Makelangelo,com.marginallyclever.makelangelo.paper,Paper,148,324,2,2,42,63,11,16,9,16
Makelangelo,com.marginallyclever.makelangelo.paper,PaperSettingsPanel,126,709,12,18,30,92,15,16,6,10
Makelangelo,com.marginallyclever.communications.serial,SerialTransportLayer,45,69,4,12,11,18,5,9,2,4
Makelangelo,com.marginallyclever.communications.serial,SerialConnection,187,0,20,0,50,0,18,0,8,0
Makelangelo,com.marginallyclever.makelangelo.plotter,RobotUID,101,0,10,0,29,0,9,0,4,0
Makelangelo,com.marginallyclever.makelangelo.plotter,PiCaptureAction.new ActionListener() {...},17,0,0,0,4,0,2,0,2,0
Makelangelo,com.marginallyclever.makelangelo.plotter,PiCaptureAction.new ActionListener() {...},90,0,0,0,15,0,2,0,2,0
Makelangelo,com.marginallyclever.makelangelo.plotter,DragAndDrive.new MouseMotionListener() {...},16,0,0,0,5,0,3,0,3,0
Makelangelo,com.marginallyclever.makelangelo.plotter,DragAndDrive.new MouseListener() {...},35,0,0,0,12,0,6,0,6,0
Makelangelo,com.marginallyclever.makelangelo.plotter,PiCaptureAction,800,0,2,0,162,0,5,0,4,0
Makelangelo,com.marginallyclever.makelangelo.plotter,DragAndDrive,252,0,6,0,49,0,5,0,2,0
Makelangelo,com.marginallyclever.makelangelo.plotter,Plotter,222,80,9,3,51,20,19,9,13,8
Makelangelo,com.marginallyclever.makelangelo.plotter,StartAtPanel,116,0,6,0,32,0,8,0,5,0
Makelangelo,com.marginallyclever.makelangelo.plotter,PlotterEvent,8,12,0,0,3,5,1,1,1,1
Makelangelo,com.marginallyclever.makelangelo.plotter,StatusBar,328,0,12,0,73,0,14,0,8,0
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl.nodes.shapes,Line,72,74,8,0,13,13,5,2,1,2
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl.nodes.shapes,Circle,76,35,4,0,15,7,3,2,1,2
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl.nodes.shapes,NGon,71,48,6,0,15,9,4,2,1,2
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl.nodes.shapes,Rectangle,76,48,4,0,16,9,3,2,1,2
